e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw,delta_e
40000.0,2.75,3.0,3,1,0,0,0,0,2.0,2.006e-13,9.0,1.419e-07,-8.55457177317831e-10
40000.0,2.75,3.0,3,1,0,0,0,0,2.0,2.498e-07,13.0,1.061e-37,-4.014361107418374e-09
40000.0,2.75,3.0,3,1,0,0,0,0,11.0,5.084e-03,4.0,6.570e-06,1.567405580327197e-09
40000.0,2.75,3.0,3,1,0,0,0,0,9.0,5.108e-23,10.0,2.165e-05,2.8892747916398065e-10
40000.0,2.75,3.0,3,0,0,1,0,0,6.0,8.169e-10,54.0,1.764e-10,5.322236748539488e-10
40000.0,2.75,3.0,3,1,0,0,0,0,2.0,4.300e-08,2.0,1.100e+01,3.253355806975833e-09
40000.0,3.0,3.0,3,0,0,1,0,0,3.0,1.511e-23,50.0,1.587e-14,2.008407329334716e-10
40000.0,3.0,3.0,3,1,0,0,0,0,2.0,1.104e+01,30.0,1.753e-28,-3.4581583430171037e-10
40000.0,3.0,3.0,3,1,0,0,0,0,0.0,7.399e+00,15.0,4.575e-02,-2.414243861770249e-08
40000.0,3.0,3.0,3,1,0,0,0,0,1.0,6.258e-28,1.0,1.306e-26,-3.5587593011365826e-09
40000.0,3.0,3.0,3,1,0,0,0,0,4.0,5.037e-09,17.0,1.009e+01,-3.8637809479658e-09
40000.0,3.0,3.0,3,1,0,0,0,0,5.0,5.329e-21,16.0,1.331e-04,-2.985596367355292e-09
40000.0,3.0,3.0,3,1,0,0,0,0,4.0,5.926e-03,8.0,1.910e-03,1.6955392645456868e-10
40000.0,3.0,3.0,3,0,1,0,0,0,11.0,2.453e-13,20.0,2.206e-19,1.5829862420879692e-09
40000.0,3.0,3.0,3,1,0,0,0,0,5.0,7.306e+00,6.0,1.124e-01,2.366286569466247e-09
40000.0,3.0,3.0,3,1,0,0,0,0,1.0,3.971e-13,7.0,1.132e-08,-2.9905834197929693e-09
40000.0,3.25,3.0,3,0,0,1,0,0,6.0,1.108e+01,40.0,8.139e-14,5.277282222326818e-10
40000.0,3.25,3.0,3,1,0,0,0,0,9.0,8.986e+00,17.0,3.152e-23,-1.4239512624580897e-09
40000.0,3.25,3.0,3,1,0,0,0,0,-0.0,5.747e-04,21.0,2.675e-28,-1.9713332397031103e-08
40000.0,3.25,3.0,3,1,0,0,0,0,2.0,2.292e-20,13.0,2.506e-22,-3.5477324411559152e-09
40000.0,3.25,3.0,3,1,0,0,0,0,3.0,2.007e+00,14.0,3.520e-11,-3.5238660878178507e-09
40000.0,3.25,3.0,3,1,0,0,0,0,2.0,2.119e-35,7.0,4.919e+00,5.839822514452919e-10
40000.0,3.25,3.0,3,1,0,0,0,0,2.0,2.842e+00,4.0,1.103e+01,2.275653776528941e-09
40000.0,3.25,3.0,3,1,0,0,0,0,8.0,2.023e-08,1.0,1.040e-02,4.315639595686704e-09
40000.0,3.25,3.0,3,1,0,0,0,0,0.0,2.804e-04,27.0,1.322e-12,-1.4673339043813627e-08
40000.0,3.25,3.0,3,1,0,0,0,0,5.0,5.794e-05,15.0,1.545e-07,-2.8020070153012e-09
40000.0,3.5,3.0,3,1,0,0,0,0,1.0,4.502e+00,20.0,7.138e-33,-1.6210829456575482e-08
40000.0,3.5,3.0,3,1,0,0,0,0,1.0,3.505e-01,18.0,2.730e-39,-1.3079143448835318e-08
40000.0,3.5,3.0,3,1,0,0,0,0,2.0,2.772e-09,23.0,1.425e-01,-7.080754177435367e-09
40000.0,3.5,3.0,3,1,0,0,0,0,5.0,1.652e-18,19.0,3.537e-20,-3.865675127223689e-09
40000.0,3.5,3.0,3,1,0,0,0,0,5.0,6.656e-01,17.0,4.339e+00,-3.309814339269579e-09
40000.0,3.5,3.0,3,1,0,0,0,0,5.0,2.524e-13,9.0,4.978e-02,7.418919784063505e-10
40000.0,3.5,3.0,3,1,0,0,0,0,7.0,5.928e-07,11.0,2.742e-02,1.1183970416439593e-11
40000.0,3.5,3.0,3,1,0,0,0,0,6.0,2.990e-07,10.0,1.799e-30,7.800683432535038e-10
40000.0,3.5,3.0,3,1,0,0,0,0,2.0,6.867e-25,15.0,3.717e-21,-4.976688464108925e-09
40000.0,3.5,3.0,3,1,0,0,0,0,5.0,6.847e-01,10.0,8.116e-01,-4.627203065155072e-10
40000.0,3.75,3.0,3,1,0,0,0,0,0.0,1.034e+01,10.0,1.070e+01,-1.4396880909650633e-08
40000.0,3.75,3.0,3,1,0,0,0,0,-0.0,1.352e-28,2.0,1.127e+01,-4.8526124507564106e-09
40000.0,3.75,3.0,3,1,0,0,0,0,2.0,6.379e-04,5.0,1.670e-01,8.897076270164561e-10
40000.0,3.75,3.0,3,1,0,0,0,0,4.0,3.313e-40,17.0,1.906e-10,-3.8619866471467645e-09
40000.0,3.75,3.0,3,1,0,0,0,0,2.0,3.609e-37,9.0,2.891e-05,-3.9272352037045266e-10
40000.0,3.75,3.0,3,1,0,0,0,0,5.0,8.156e-20,11.0,3.706e-18,-8.036298154712185e-10
40000.0,3.75,3.0,3,1,0,0,0,0,5.0,5.701e-40,11.0,9.657e+00,-1.1013318590435972e-09
40000.0,3.75,3.0,3,1,0,0,0,0,7.0,3.478e+00,9.0,5.298e-13,7.281296676708848e-10
40000.0,3.75,3.0,3,1,0,0,0,0,0.0,2.587e-14,11.0,8.066e-14,-1.8409050256407156e-08
40000.0,3.75,3.0,3,1,0,0,0,0,5.0,9.050e-07,12.0,3.507e-32,-1.8823587411009868e-09
40000.0,4.0,3.0,3,1,0,0,0,0,0.0,5.291e-03,28.0,2.758e-01,-8.576870255683211e-09
40000.0,4.0,3.0,3,1,0,0,0,0,1.0,1.874e+00,23.0,1.655e-04,-1.1788224035802486e-08
40000.0,4.0,3.0,3,1,0,0,0,0,2.0,3.791e-12,7.0,1.122e-36,6.149835085622612e-10
40000.0,4.0,3.0,3,1,0,0,0,0,4.0,1.181e+00,9.0,8.309e-03,9.279652046778608e-11
40000.0,4.0,3.0,3,1,0,0,0,0,1.0,3.644e-07,2.0,1.320e-24,-6.015211537202525e-09
40000.0,4.0,3.0,3,1,0,0,0,0,2.0,8.595e-05,7.0,8.385e+00,9.32232541162037e-10
40000.0,4.0,3.0,3,1,0,0,0,0,2.0,4.378e-03,8.0,3.646e-12,2.7409523262189595e-10
40000.0,4.0,3.0,3,1,0,0,0,0,4.0,5.551e+00,7.0,3.550e-07,1.6983108114265733e-09
40000.0,4.0,3.0,3,1,0,0,0,0,2.0,1.129e-30,4.0,1.384e-14,3.6632595568075743e-10
